TRANSCRIPT_TEXT,REVIEW_DATE,BRANCH_NUMBER,REGION_NUMBER,CUSTOMER_ID
"Ich war begeistert von meiner Erfahrung in der Bank Corp Filiale. Die Wartezeit im Innenbereich war minimal — kaum angekommen, wurde ich freundlich begrüßt und schnell bedient. Das Ambiente ist angenehm, Sitzplätze ausreichend und die Organisation sehr effizient. So macht Bankgeschäft Spaß! Ich komme gern wieder und empfehle die Filiale weiter.",2025-09-11,16,2,84
"Fui à agência da Bank Corp e o atendimento do caixa me deixou desapontado. O(a) atendente parecia despreparado, demorou a resolver a transação e não explicou taxas ou procedimentos. Demonstrou falta de atenção e pouca paciência; tive que corrigir um erro depois. Esperava mais profissionalismo de uma instituição bancária. Não recomendaria até que melhorem o treinamento.",2025-06-19,30,3,45
"Die Filiale von Bank Corp lässt stark zu wünschen übrig. Die Räumlichkeiten sind veraltet, das Mobiliar abgegriffen und die Beleuchtung schlecht. Der Warteraum ist eng und oft überfüllt, die Klimaanlage/Heizung funktioniert unzuverlässig. Toiletten und Automaten wirken schlecht gewartet; einmal war der Geldautomat außer Betrieb. Sauberkeit und Instandhaltung entsprechen nicht den Erwartungen — für ein modernes Bankhaus enttäuschend.",2025-07-16,3,4,317
"Terrible experience at Bank Corp branch. Waited 45 minutes inside the branch with no updates, lines barely managed and only two tellers working. Staff seemed uninterested and the manager never checked in. Had an urgent issue and was rushed through with mistakes because of the chaos. Completely unacceptable — won't return until they fix staffing.",2025-06-13,28,2,634
Visited my local Bank Corp branch today. Wait time inside was about 20 minutes—longer than I’d hoped—but the teller handled my request quickly and politely. The lobby was clean and seating available; staff apologized for the delay and kept things moving. Overall an okay experience; I’ll return but hope the next visit is a bit faster.,2025-06-15,2,5,258
"Agência do Bank Corp precisa urgente de melhorias nas instalações. Salas de espera com poucos assentos e estofados rasgados, ar-condicionado sem funcionar bem e iluminação fraca tornam a espera desconfortável. Banheiro mal conservado e sinalização confusa. A agência aparenta falta de manutenção e limpeza regular. Os funcionários foram educados, mas o estado físico da filial prejudica bastante a experiência. Espero reformas e atenção à acessibilidade.",2025-08-13,29,2,648
"La espera en el drive-thru de Bank Corp fue moderada; en hora punta tardé unos 10-15 minutos. El personal fue amable y el trámite se resolvió correctamente, aunque podrían agilizar la atención en momentos de mayor afluencia. En general, cumplió con lo necesario.",2025-07-09,7,1,676
"Fila interminável, esperei mais de 45 minutos dentro da agência do Bank Corp sem ser atendido. Funcionários parecem desorganizados e indiferentes; nenhuma explicação ou pedido de desculpas. Atendimento ineficiente, poucos caixas abertos e clima de descaso. Perda total de tempo — não recomendo a ninguém que precise resolver algo rapidamente.",2025-08-08,9,5,332
"Terrible experience at Bank Corp. The teller was rude, impatient, and clearly untrained — she handled my deposit carelessly, gave me incorrect information, and dismissed my questions with attitude. Wait times were long and staff showed no sense of urgency or professionalism. Management shrugged it off when I complained. I left feeling disrespected and will be closing my accounts. Do not recommend.",2025-08-25,50,6,321
"Erfahrung und Professionalität des Schalterpersonals waren katastrophal. Die Mitarbeiterin wirkte unfreundlich, inkompetent und desinteressiert, beantwortete Fragen nicht und machte Fehler bei der Transaktion. Lange Wartezeit ohne Entschuldigung. Ich werde Bank Corp meiden und rate anderen dringend ab.",2025-09-07,14,2,552
"Absolut katastrophal: Mein Zugang zum Schließfach bei Bank Corp war ein Albtraum. Stundenlanges Warten, unfreundliches Personal, widersprüchliche Anforderungen an Identitätsnachweise und verlorene Schlüssel — ohne hilfreiche Lösung. Öffnungszeiten extrem eingeschränkt, zusätzliche Gebühren nicht transparent. Ich habe Vertrauen und Zeit verloren. Nie wieder Bank Corp.",2025-08-03,8,6,154
"Ich habe kürzlich mein Schließfach bei Bank Corp in einer Filiale genutzt und war enttäuscht. Terminvereinbarung telefonisch mühsam, lange Wartezeiten vor Ort und die Mitarbeitenden wirkten überfordert. Zugang nur zu engen Zeiten, das Sicherheitsverfahren war umständlich. Das Schließfach selbst ist in Ordnung, aber Service und Erreichbarkeit müssen dringend verbessert werden.",2025-07-07,41,5,681
"La succursale Bank Corp est un désastre: locaux sales, moquette tachée, toilettes imondes, climatisation hors service, guichets mal entretenus et distributeur automatique constamment en panne. Éclairage faible, chaises déchirées et odeur désagréable. Le personnel évite les problèmes plutôt que d’agir. Inacceptable pour une banque — je ne remettrai jamais les pieds ici.",2025-09-11,18,6,385
"Terrible experience with Bank Corp. The banker/advisor was unprofessional, dismissive, and inexperienced. I received conflicting information, missed deadlines because they didn't follow up, and they ignored calls and emails. Appointments started late or were canceled without notice. I left feeling frustrated and mistrustful — I would not recommend their advisors to anyone seeking competent, courteous service.",2025-09-01,31,3,291
"Die Filiale von Bank Corp macht insgesamt keinen guten Eindruck: Wartebereich abgewohnt, Möbel zerschlissen und Beleuchtung düster. Die Sanitäranlagen sind oft nicht sauber, und ein Geldautomat war zuletzt defekt. Schilder sind schlecht sichtbar, was die Orientierung erschwert. Ich erwarte saubere, gut gepflegte Räume und funktionierende Automaten — leider nicht gewährleistet. Verbesserungen im Unterhalt wären dringend nötig.",2025-07-01,38,2,346
"Visité la sucursal de Bank Corp recientemente. Las instalaciones están limpias, bien iluminadas y la zona de espera es cómoda; además la accesibilidad para personas con movilidad reducida es adecuada. La señalización podría ser más clara y el baño necesita mantenimiento, pero en general la sucursal transmite orden y tranquilidad, lo que hace las gestiones bancarias más agradables.",2025-06-12,27,5,635
"J’ai visité une agence de Bank Corp récemment. L’état des locaux m’a déçu : moquette usée, sièges abîmés et poignées de porte collantes. La climatisation est mal réglée et l’éclairage insuffisant. La signalisation est confuse, l’ATM extérieur fonctionne mal parfois. Le personnel est aimable mais l’entretien des installations laisse à désirer — la banque devrait investir dans des réparations et un meilleur nettoyage.",2025-08-11,33,6,694
"Mi experiencia accediendo a mi caja de seguridad en Bank Corp fue terrible. Personal incompetente, papeleo absurdo, me hicieron volver tres veces y la bóveda estaba inaccesible por problemas del sistema. Me cobraron cargos no explicados y nadie ofreció soluciones ni disculpas. Me sentí inseguro sobre la protección de mis bienes y perdí tiempo y confianza en la sucursal. No lo recomiendo.",2025-07-16,13,1,3
"Expérience décevante avec un conseiller chez Bank Corp. Accueil poli, mais manque flagrant de professionnalisme et de clarté : réponses vagues, attente prolongée et informations contradictoires sur les frais. Je suis ressorti frustré, sans solutions adaptées à ma situation. Espoir d'amélioration — formation et meilleure communication nécessaires, sinon je changerai d'agence.",2025-07-22,19,6,404
"Ich war kürzlich in einer Filiale von Bank Corp. Die Schaltermitarbeiterin war sehr professionell, kompetent und freundlich. Meine Anliegen wurden zügig und verständlich erklärt, die Abwicklung verlief reibungslos. Einziger kleiner Wermutstropfen: die Wartezeit war etwas länger als erwartet. Insgesamt bin ich zufrieden und komme gerne wieder.",2025-07-31,4,5,74
"Bin vor kurzem in eine Bank Corp-Filiale gegangen. Vor Ort musste ich 25–30 Minuten warten, obwohl nur wenige Kunden da waren. Keine klare Organisation, Schalter oft besetzt, nur eine Mitarbeiterin pro Schalter. Beratung freundlich, aber gehetzt. Für einfache Erledigungen zu viel Wartezeit. Verbesserungswürdig – vor allem mehr Personal oder ein besseres Ticketsystem.",2025-06-22,28,6,9
"Ich war etwas enttäuscht von der Wartezeit in der Filiale von Bank Corp. Trotz Termin dauerte die Bedienung über 30 Minuten, keine klare Anzeige oder Personal zur Orientierung. Die Mitarbeiter wirkten überfordert, Kommunikation mangelhaft. Für einfache Anliegen ist das ärgerlich — ich überlege, künftig Online-Alternativen zu nutzen. Verbesserung dringend nötig.",2025-09-08,4,2,34
"Fantastische Erfahrung beim Zugang zu meinem Schließfach bei Bank Corp. Das Personal war extrem hilfsbereit und professionell, die Sicherheitskontrollen effizient und respektvoll. Terminvergabe, Wegbeschreibung und die tatsächliche Nutzung liefen reibungslos — sauber, diskret und vertrauenswürdig. Ich fühle mich mit meinen Wertsachen bestens aufgehoben und kann Bank Corp jedem empfehlen, der ein sicheres, gut organisiertes Schließfach sucht.",2025-09-06,19,3,14
"Les agences de Bank Corp sont impeccables et bien entretenues. Les locaux sont modernes, lumineux et accessibles, avec des sièges confortables, des espaces privés pour les conversations et une signalisation claire. La propreté, la climatisation et les équipements numériques facilitent chaque visite. Très satisfait de l'état des installations — on s'y sent en confiance et bien accueilli.",2025-09-12,19,3,518
"Estou muito satisfeito com as condições da agência do Bank Corp. Instalações modernas, limpas e bem iluminadas; ar-condicionado funciona perfeitamente e a área de atendimento é confortável e organizada. Sinalização clara facilita encontrar os serviços, e as cadeiras e espaço de espera são agradáveis. Banheiros sempre limpos e acesso para pessoas com mobilidade reduzida excelente. Segurança e estacionamento convenientes completam a ótima experiência.",2025-08-06,14,3,340
"Visité una sucursal de Bank Corp y utilicé el servicio drive-thru. El tiempo de espera fue generalmente razonable; en horas menos concurridas el trámite fue rápido, pero en momentos de mayor afluencia la fila se alargó y hubo que esperar más. El personal fue atento y los procesos eficientes cuando llegó mi turno.",2025-08-02,14,6,207
"Excellente expérience chez Bank Corp. L'agent de guichet était professionnel, courtois et très compétent. Il a traité ma transaction rapidement, expliqué clairement les options et répondu à toutes mes questions avec patience. L'accueil était chaleureux et efficace. Je recommande vivement cette agence pour son service client irréprochable et son personnel attentionné.",2025-08-03,34,1,522
"Atendimento no drive-thru da Bank Corp foi horrível. Fila demorou muito, funcionários lentos e desorganizados, ninguém explicou o motivo da espera. Achei inaceitável ter que perder tanto tempo para uma simples transação bancária. Não volto e não recomendo — péssima experiência, falta de respeito com o cliente.",2025-07-05,31,5,300
"Las instalaciones de Bank Corp están impecables, modernas y muy bien mantenidas. Espacios cómodos, asientos suficientes, iluminación y climatización agradables, baños limpios y señalización clara que facilita el acceso. El ambiente es tranquilo y accesible para personas con movilidad reducida. Excelente experiencia.",2025-09-12,36,4,101
Terrible experience at the Bank Corp branch. I waited over 45 minutes with no updates while only two tellers worked the line and staff seemed indifferent. This level of inefficiency is unacceptable for a bank — wasted my lunch break and left me frustrated. Won't be coming back.,2025-07-19,36,6,414
"J'ai visité une agence Bank Corp la semaine dernière. L'attente à l'intérieur a été un peu longue (environ 20 minutes), mais le personnel était aimable et efficace une fois pris en charge. Les locaux sont propres et confortables, et on m'a tenu informé du délai. Dans l'ensemble, une expérience correcte — j'apprécie le service, mais l'attente pourrait être améliorée.",2025-06-23,21,1,81
"Visited the Bank Corp drive-thru today. Wait time was about 12 minutes during a busy midday, which felt a bit long, but the teller was efficient once I reached the window. Overall a decent experience, though wait times could be improved.",2025-08-13,11,1,95
"Die Wartezeit im Drive‑Thru bei Bank Corp war leider länger als erwartet, etwa 15–20 Minuten. Positiv zu erwähnen: Das Personal war freundlich und professionell, und als ich dran war, lief alles zügig und korrekt. Für einfache Anliegen ist es in Ordnung, aber bei wenig Zeit würde ich nächstes Mal eine Filiale ohne Drive‑Thru oder einen anderen Zeitpunkt wählen. Insgesamt zufrieden, aber verbesserungswürdig.",2025-07-26,34,5,398
"Sehr zufrieden mit meiner Erfahrung beim Zugriff auf mein Bankschließfach bei Bank Corp. Terminvereinbarung unkompliziert, Mitarbeiter freundlich und diskret, Zugangsprozedur schnell und sicher. Die Räume sind sauber und gut überwacht, ich fühlte mich vertraulich und bestens betreut. Absolut empfehlenswert für alle, die Sicherheit und professionellen Service schätzen.",2025-08-09,42,2,559
"Tuve una buena experiencia en Bank Corp. El asesor fue profesional, conocedor y paciente, explicó claramente las opciones y me ayudó a elegir la mejor cuenta para mis necesidades. La atención en la sucursal fue rápida y respetuosa, aunque me hubiera gustado mayor disponibilidad de horarios. En general, recomendable por su experiencia y trato humano; volvería por la confianza que transmitieron.",2025-08-19,28,4,516
"Die Wartezeit im Drive-thru von Bank Corp war diesmal etwas länger als ich es gewohnt bin, aber das Personal war freundlich und professionell. Sobald ich dran war, ging die Abwicklung schnell und problemlos. Insgesamt zufrieden, würde mir nur wünschen, dass die Wartezeiten künftig etwas kürzer sind.",2025-08-30,29,4,207
"Bank Corp : L'attente en agence était un peu longue (environ 20 minutes), mais l'espace d'attente était propre et confortable. Le personnel a été attentif et efficace une fois pris en charge, ce qui a compensé le délai. Globalement expérience plutôt positive, je reviendrai si nécessaire.",2025-06-19,46,6,611
"Extrem enttäuschender Besuch bei Bank Corp. Die Schalterkraft war unfreundlich, unaufmerksam und offensichtlich nicht geschult: lange Wartezeiten, unklare Auskünfte und herablassende Kommentare. Antworten waren widersprüchlich, notwendige Formulare nicht erklärt. Kundenservice mangelhaft — werde Kontowechsel in Erwägung ziehen. So geht man nicht mit Kunden um.",2025-07-13,49,3,131
"Die Bankfiliale ist ordentlich und gut beleuchtet; Empfangsbereich und Geldautomaten funktionieren einwandfrei. Die Sitzgelegenheiten im Warteraum sind jedoch begrenzt und die Beschilderung könnte klarer sein. Barrierefreie Zugänge und ein funktionierender Aufzug sind vorhanden, aber das WC war nicht immer sauber. Insgesamt akzeptabler Zustand mit kleinen Verbesserungsmöglichkeiten.",2025-08-20,42,4,43
"Mi experiencia con Bank Corp en la sucursal fue decepcionante. El asesor mostró falta de profesionalismo: era poco claro, parecía no dominar los productos y tardó en responder mis dudas. El trato fue impersonal y no recibí el seguimiento prometido. Esperaba más orientación y soluciones concretas para mi cuenta. No recomendaría esta sucursal hasta que mejoren la formación y la atención al cliente.",2025-08-13,3,6,535
"J'ai visité une agence de Bank Corp et la guichetière a été professionnelle et efficace. Elle a répondu clairement à mes questions, traité ma transaction rapidement et avec courtoisie. L'attente était raisonnable et l'espace propre. Seul petit bémol : j'aurais apprécié un peu plus d'explications sur certains frais. Dans l'ensemble, expérience positive, je reviendrai.",2025-09-02,46,3,167
"Minha experiência na Bank Corp foi, no geral, positiva. O assessor foi muito profissional e atencioso, explicou claramente as opções de conta e investimentos e tirou todas as minhas dúvidas com paciência. O atendimento foi cordial e eficiente, embora haja pequena demora no horário de pico. Senti que recebi aconselhamento adequado e recomendo a agência para quem busca um serviço competente e confiável.",2025-07-04,4,2,439
"As instalações da Bank Corp são excelentes: espaços limpos, bem iluminados e confortáveis. A sinalização é clara, as filas são organizadas e há assentos suficientes. Banheiros e caixas eletrônicos estão sempre bem conservados, com acesso para pessoas com mobilidade reduzida. Ambiente moderno e seguro, que transmite confiança — uma experiência muito positiva sempre que preciso ir à agência.",2025-07-02,46,4,485
"Usé el drive-thru de Bank Corp y aunque esperé unos minutos más de lo esperado, el tiempo valió la pena: el personal fue amable y muy eficiente. La transacción se hizo sin problemas y me explicaron todo con calma. Sugiero mejorar la organización en horas pico para reducir la espera, pero en general quedé satisfecho y volveré.",2025-07-16,30,1,41
"J'ai été déçu par mon expérience en agence chez Bank Corp. Le conseiller semblait pressé et peu attentif, expliquait mal les options et répondait vaguement à mes questions. Attente longue, dossiers traités sans soin et aucune proposition proactive. Pour une banque réputée, le manque de professionnalisme et d'empathie est surprenant. Je n'y retournerai que si le service en agence s'améliore.",2025-08-13,24,4,97
"Absolutely awful drive-thru at Bank Corp. I waited over 25 minutes with no explanation while staff shuffled slowly and seemed indifferent. No apology, no manager, no effort to speed things up. Completely unacceptable for a bank — wasted my time and I will never recommend or return.",2025-07-10,38,6,591
"Katastrophale Erfahrung im Drive-Thru von Bank Corp. Über 20 Minuten gewartet, während nur ein Schalter offen war und kein Personal sich kümmerte. Keine Entschuldigung, keine Information, alles wirkt völlig unorganisiert. Wegen dieser Inkompetenz habe ich einen wichtigen Termin verpasst. Absolut inakzeptabel — ich werde diese Filiale nie wieder nutzen und rate dringend davon ab.",2025-06-17,21,1,512
"Terrible experiencia con Bank Corp al intentar acceder a mi caja de seguridad. Esperé más de una hora, el personal fue indiferente y contradictorio, me hicieron volver con papeles que ya había entregado y perdieron la llave de repuesto. Me negaron acceso por supuestos errores administrativos sin solución ni disculpa. Seguridad y servicio deplorables — no recomiendo esta sucursal a nadie.",2025-07-14,14,6,463
"Les agences Bank Corp sont impeccables : espaces modernes, bien entretenus et très propres. La signalisation est claire, les sièges confortables, et les guichets et bornes fonctionnent parfaitement. L'accessibilité est excellente (rampe et ascenseur), et l'ambiance est professionnelle et accueillante. J'apprécie aussi le Wi-Fi et les temps d'attente courts. Excellente expérience — les conditions des installations donnent confiance et rendent chaque visite agréable.",2025-06-26,37,5,485
"Minha experiência na Bank Corp foi, no geral, muito positiva. O gerente/advisor demonstrou grande conhecimento e profissionalismo, explicando opções de forma clara e paciente. Senti-me bem orientado para escolher o produto mais adequado às minhas necessidades. O único ponto a melhorar é a espera na agência, que foi um pouco longa, mas compensada pelo atendimento atencioso. Recomendo a Bank Corp para quem busca orientação financeira confiável.",2025-07-04,1,2,366
"Les agences Bank Corp sont généralement propres et bien entretenues, avec un éclairage agréable et des distributeurs automatiques accessibles. J’ai apprécié l’entrée de plain-pied et l’espace d’attente confortable. Malgré tout, il manque parfois des places assises et la signalisation interne pourrait être plus claire. Dans l’ensemble, expérience satisfaisante — quelques améliorations pratiques rendraient la visite encore meilleure.",2025-08-14,18,4,374
"Minha experiência ao tentar acessar a caixa de segurança na Bank Corp foi frustrante. Agendamento complicado, funcionários pouco informados e espera longa, apesar de horário marcado. Procedimentos de segurança demorados e falta de transparência sobre taxas adicionais. Acabei perdendo tempo e me senti mal atendido; esperava mais eficiência de um banco com presença física. Recomendo revisão dos processos e treinamento da equipe.",2025-07-28,7,3,320
"I visited a Bank Corp branch to discuss account options. The banker was professional and knowledgeable, provided clear explanations, handled paperwork efficiently, and respected confidentiality. Response and follow-up were timely. Wait time at the branch was a bit longer than I expected. Overall the interaction was competent and met my needs.",2025-07-30,46,4,692
"Expérience très négative chez Bank Corp. Le conseiller a fait preuve d'incompétence et d'un manque total de professionnalisme : rendez‑vous annulés, réponses floues, conseils contradictoires et frais jamais expliqués. L'accueil était froid et le service client inefficace pour corriger les erreurs. Je déconseille vivement cette agence.",2025-09-02,14,2,694
"Excelente experiência no drive-thru do Bank Corp! Cheguei no horário do almoço e fui atendido em poucos minutos. Atendimento rápido, eficiente e muito cordial; o funcionário resolveu minha solicitação com agilidade e clareza. A sinalização e a organização são ótimas. Recomendo para quem precisa de serviço bancário sem sair do carro — prático e sem espera.",2025-06-19,29,2,527
"Visitei a agência da Bank Corp e fui atendido por um caixa educado e eficiente. A experiência foi, em geral, positiva: o funcionário explicou os procedimentos com clareza e resolveu minha solicitação rapidamente. Achei a postura profissional, embora o atendimento pudesse ser um pouco mais caloroso. Ainda assim, saí satisfeito com o serviço prestado e voltaria à agência quando precisar.",2025-09-02,51,6,38
"I visited a Bank Corp branch for help with an account and was disappointed. The banker seemed rushed and gave vague answers, then failed to follow up as promised. Staff were polite but lacked clear explanations and attention to detail; paperwork contained mistakes that caused delays. Overall the experience felt unprofessional and left me frustrated. I hope management improves staff training and communication—this retail location needs to take customer service more seriously.",2025-08-09,30,2,71
